2020 Jun 23 10:56:13 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 10:56:13 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 10:56:21 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Reference taxonomy set to [Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia, Escherichia coli, Escherichia coli K-12]
2020 Jun 23 10:56:25 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Iterator size: 0, entries []
2020 Jun 23 10:56:25 [Thread-22] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 10:56:57 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 10:56:57 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 10:56:57 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 10:58:20 [Thread-20] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Reference taxonomy set to [Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia, Escherichia coli, Escherichia coli K-12]
2020 Jun 23 10:58:22 [Thread-20] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Iterator size: 0, entries []
2020 Jun 23 10:58:22 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 10:58:54 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 10:58:54 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 10:58:54 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 10:59:08 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Reference taxonomy set to [Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia, Escherichia coli, Escherichia coli K-12]
2020 Jun 23 10:59:10 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Iterator size: 1, entries [1.3.2.3]
2020 Jun 23 10:59:14 [Thread-22] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Orthologs to be searched in genome:	1	[ath:AT3G47930]
2020 Jun 23 10:59:44 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 10:59:44 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 10:59:44 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:01:22 [Thread-22] run_OrthologGapsSearch INFO  p.u.c.b.m.a.core.RunSimilaritySearch - Writting query sequences temporary fasta files... 
2020 Jun 23 11:03:19 [Thread-22] run_OrthologGapsSearch INFO  p.u.c.b.m.a.core.RunSimilaritySearch - Starting Blast homology searches... 
2020 Jun 23 11:03:30 [Thread-52] run INFO  p.u.c.b.m.a.c.M.BlastAlignment - BLAST search completed with success!
2020 Jun 23 11:05:02 [Thread-22] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:13:37 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:14:17 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:14:17 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
